pokemon_name,pokedex_number,pokemon_id,classification,pokemon_height,pokemon_weight,primary_type,secondary_type,pre_evo_id,evo_details,primary_ability,primary_ability_desc,secondary_ability,secondary_ability_desc,hidden_ability,hidden_ability_desc,health_stat,attack_stat,defense_stat,special_attack_stat,special_defense_stat,speed_stat,base_stat_total
Ekans,23,86,Snake Pokemon,2,6.9,Poison,,,,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,35,60,44,40,54,55,288
Arbok,24,87,Cobra Pokemon,3.5,65,Poison,,86,Level 22,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,60,95,69,65,79,80,448
Pikachu,25,89,Mouse Pokemon,0.4,6,Electric,,88,,Static,"The Pokemon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",35,55,40,50,50,90,320
Pikachu,25,1523,Mouse Pokemon,21,0,Electric,,,,Static,"The Pokemon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",35,55,40,50,50,90,320
Pikachu,25,1595,Mouse Pokemon,0.4,6,Electric,,,,Static,"The Pokemon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",45,80,50,75,60,120,430
Raichu,26,90,Mouse Pokemon,0.8,30,Electric,,89,Thunder Stone,Static,"The Pokemon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",60,90,55,90,80,110,485
Raichu,26,90,Mouse Pokemon,0.8,30,Electric,,89,Thunder Stone in Ultra Space - Only Available In USUM,Static,"The Pokemon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",60,90,55,90,80,110,485
Raichu,26,90,Mouse Pokemon,0.8,30,Electric,,89,Thunder Stone,Static,"The Pokemon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",60,90,55,90,80,110,485
Raichu,26,91,Mouse Pokemon,0.7,21,Electric,Psychic,89,Thunder Stone in Alola,Surge Surfer,Doubles the Pokemon's Speed stat on Electric Terrain.,,,,,60,85,50,95,85,110,485
Sandshrew,27,92,Mouse Pokemon,0.6,12,Ground,,,,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,,,Sand Rush,Boosts the Pokemon's Speed stat in a sandstorm.,50,75,85,20,30,40,300
Sandshrew,27,93,Mouse Pokemon,0.7,40,Ice,Steel,,,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Slush Rush,Boosts the Pokemon's Speed stat in a hailstorm.,50,75,90,10,35,40,300
Sandslash,28,94,Mouse Pokemon,1,29.5,Ground,,92,Level 22,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,,,Sand Rush,Boosts the Pokemon's Speed stat in a sandstorm.,75,100,110,45,55,65,450
Sandslash,28,95,Mouse Pokemon,1.2,55,Ice,Steel,93,Ice Stone,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Slush Rush,Boosts the Pokemon's Speed stat in a hailstorm.,75,100,120,25,65,65,450
Nidoran (Female),29,33,Poison Pin Pokemon,0.4,7,Poison,,,,Poison Point,Contact with the Pokemon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",55,47,52,40,40,41,275
Nidorina,30,17,Poison Pin Pokemon,0.8,20,Poison,,33,Level 16,Poison Point,Contact with the Pokemon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",70,62,67,55,55,56,365
Nidoqueen,31,18,Drill Pokemon,1.3,60,Poison,Ground,17,Moon Stone,Poison Point,Contact with the Pokemon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,90,92,87,75,85,76,505
Nidoran (Male),32,48,Poison Pin Pokemon,0.5,9,Poison,,,,Poison Point,Contact with the Pokemon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",46,57,40,40,40,50,273
Nidorino,33,49,Poison Pin Pokemon,0.9,19.5,Poison,,48,Level 16,Poison Point,Contact with the Pokemon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",61,72,57,55,55,65,365
Nidoking,34,50,Drill Pokemon,1.4,62,Poison,Ground,49,Moon Stone,Poison Point,Contact with the Pokemon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,81,102,77,85,75,85,505
Clefairy,35,52,Fairy Pokemon,0.6,7.5,Fairy,,51,,Cute Charm,Contact with the Pokemon may cause infatuation.,Magic Guard,The Pokemon only takes damage from attacks.,Friend Guard,Reduces damage done to allies.,70,45,48,60,65,35,323
Clefable,36,53,Fairy Pokemon,1.3,40,Fairy,,52,Moon Stone,Cute Charm,Contact with the Pokemon may cause infatuation.,Magic Guard,The Pokemon only takes damage from attacks.,Unaware,"When attacking, the Pokemon ignores the target Pokemon's stat changes.",95,70,73,95,90,60,483
Vulpix,37,54,Fox Pokemon,0.6,9.9,Fire,,,,Flash Fire,Powers up the Pokemon's Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokemon enters a battle.,38,41,40,50,65,65,299
Vulpix,37,55,Fox Pokemon,0.6,9.9,Ice,,,,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Snow Warning,The Pokemon makes it snow when it enters a battle.,38,41,40,50,65,65,299
Ninetales,38,56,Fox Pokemon,1.1,19.9,Fire,,54,Fire Stone,Flash Fire,Powers up the Pokemon's Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokemon enters a battle.,73,76,75,81,100,100,505
Ninetales,38,57,Fox Pokemon,1.1,19.9,Ice,Fairy,55,Ice Stone,Snow Cloak,Boosts evasiveness in a hailstorm.,,,Snow Warning,The Pokemon makes it snow when it enters a battle.,73,67,75,81,100,109,505
Jigglypuff,39,59,Balloon Pokemon,0.5,5.5,Normal,Fairy,58,,Cute Charm,Contact with the Pokemon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,115,45,20,45,25,20,270
Wigglytuff,40,60,Balloon Pokemon,1,12,Normal,Fairy,59,Moon Stone,Cute Charm,Contact with the Pokemon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Frisk,"When it enters a battle, the Pokemon can check an opposing Pokemon's held item.",140,70,45,85,50,45,435
Zubat,41,61,Bat Pokemon,0.8,7.5,Poison,Flying,,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",,,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",40,45,35,30,40,55,245
Golbat,42,62,Bat Pokemon,1.6,55,Poison,Flying,61,Level 22,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",,,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",75,80,70,65,75,95,460
Oddish,43,64,Weed Pokemon,0.5,5.4,Grass,Poison,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Run Away,Enables a sure getaway from wild Pokemon.,45,50,55,75,65,30,320
Gloom,44,65,Weed Pokemon,0.8,8.6,Grass,Poison,64,Level 21,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Stench,"By releasing stench when attacking, this Pokemon may cause the target to flinch.",60,65,70,85,75,40,395
Vileplume,45,66,Flower Pokemon,1.2,18.6,Grass,Poison,65,Leaf Stone,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Effect Spore,"Contact with the Pokemon may inflict poison, sleep, or paralysis on its attacker.",75,80,85,110,90,50,490
Paras,46,68,Mushroom Pokemon,0.3,5.4,Bug,Grass,,,Effect Spore,"Contact with the Pokemon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",35,70,55,45,55,25,285
Parasect,47,69,Mushroom Pokemon,1,29.5,Bug,Grass,68,Level 24,Effect Spore,"Contact with the Pokemon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",60,95,80,60,80,30,405
Venonat,48,70,Insect Pokemon,1,30,Bug,Poison,,,Compound Eyes,The Pokemon's compound eyes boost its accuracy.,Tinted Lens,"The Pokemon can use ""not very effective"" moves to deal regular damage.",Run Away,Enables a sure getaway from wild Pokemon.,60,55,50,40,55,45,305
Venomoth,49,71,Poison Moth Pokemon,1.5,12.5,Bug,Poison,70,Level 31,Shield Dust,This Pokemon's dust blocks the additional effects of attacks taken.,Tinted Lens,"The Pokemon can use ""not very effective"" moves to deal regular damage.",Wonder Skin,Makes status moves more likely to miss.,70,65,60,90,75,90,450
Diglett,50,72,Mole Pokemon,0.2,0.8,Ground,,,,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,Arena Trap,Prevents opposing Pokemon from fleeing.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",10,55,25,35,45,95,265
Diglett,50,74,Mole Pokemon,0.2,1,Ground,Steel,,,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokemon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",10,55,30,35,45,90,265
Dugtrio,51,75,Mole Pokemon,0.7,66.6,Ground,Steel,74,Level 26 In Alola,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokemon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",35,100,60,50,70,110,425
Dugtrio,51,73,Mole Pokemon,0.7,33.3,Ground,,72,Level 26,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,Arena Trap,Prevents opposing Pokemon from fleeing.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",35,100,50,50,70,120,425
Meowth,52,1524,Scratch Cat Pokemon,33,0,Normal,,,,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Technician,Powers up the Pokemon's weaker moves.,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,40,45,35,40,40,90,290
Meowth,52,96,Scratch Cat Pokemon,0.4,4.2,Normal,,,,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Technician,Powers up the Pokemon's weaker moves.,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,40,45,35,40,40,90,290
Meowth,52,97,Scratch Cat Pokemon,0.4,4.2,Dark,,,,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Technician,Powers up the Pokemon's weaker moves.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",40,35,35,50,40,90,290
Meowth,52,98,Scratch Cat Pokemon,0.4,7.5,Steel,,,,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Tough Claws,Powers up moves that make direct contact.,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,50,65,55,40,40,40,290
Persian,53,100,Classy Cat Pokemon,1,32,Normal,,96,Level 28,Limber,Its limber body protects the Pokemon from paralysis.,Technician,Powers up the Pokemon's weaker moves.,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,65,70,60,65,65,115,440
Persian,53,101,Classy Cat Pokemon,1.1,33,Dark,,97,,Fur Coat,Halves the damage from physical moves.,Technician,Powers up the Pokemon's weaker moves.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",65,60,60,75,65,115,440
Psyduck,54,102,Duck Pokemon,0.8,19.6,Water,,,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Cloud Nine,Eliminates the effects of weather.,Swift Swim,Boosts the Pokemon's Speed stat in rain.,50,52,48,65,50,55,320
Golduck,55,884,Duck Pokemon,1.7,76.6,Water,,102,Level 33,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Cloud Nine,Eliminates the effects of weather.,Swift Swim,Boosts the Pokemon's Speed stat in rain.,80,82,78,95,80,85,500
Mankey,56,895,Pig Monkey Pokemon,0.5,28,Fighting,,,,Vital Spirit,"The Pokemon is full of vitality, and that prevents it from falling asleep.",Anger Point,"The Pokemon is angered when it takes a critical hit, and that maxes its Attack stat.",Defiant,Boosts the Pokemon's Attack stat sharply when its stats are lowered.,40,80,35,35,45,70,305
Primeape,57,924,Pig Monkey Pokemon,1,32,Fighting,,895,Level 28,Vital Spirit,"The Pokemon is full of vitality, and that prevents it from falling asleep.",Anger Point,"The Pokemon is angered when it takes a critical hit, and that maxes its Attack stat.",Defiant,Boosts the Pokemon's Attack stat sharply when its stats are lowered.,65,105,60,60,70,95,455
Growlithe,58,949,Puppy Pokemon,0.7,19,Fire,,,,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokemon's Fire-type moves if it's hit by one.,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokemon, for justice.",55,70,45,70,50,60,350
Growlithe,58,1615,Scout Pokemon,0.8,22.7,Fire,Rock,,,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokemon's Fire-type moves if it's hit by one.,Rock Head,Protects the Pokemon from recoil damage.,60,75,45,65,50,55,350
Arcanine,59,1624,Legendary Pokemon,2,168,Fire,Rock,1615,Fire Stone,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokemon's Fire-type moves if it's hit by one.,Rock Head,Protects the Pokemon from recoil damage.,95,115,80,95,80,90,555
Arcanine,59,960,Legendary Pokemon,1.9,155,Fire,,949,Fire Stone,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokemon's Fire-type moves if it's hit by one.,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokemon, for justice.",90,110,80,100,80,95,555
Poliwag,60,971,Tadpole Pokemon,0.6,12.4,Water,,,,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Swift Swim,Boosts the Pokemon's Speed stat in rain.,40,50,40,40,40,90,300
Poliwhirl,61,982,Tadpole Pokemon,1,20,Water,,971,Level 25,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Swift Swim,Boosts the Pokemon's Speed stat in rain.,65,65,65,50,50,90,385
Poliwrath,62,993,Tadpole Pokemon,1.3,54,Water,Fighting,982,Water Stone,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Swift Swim,Boosts the Pokemon's Speed stat in rain.,90,95,95,70,90,70,510
Abra,63,1004,Psi Pokemon,0.9,19.5,Psychic,,,,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Magic Guard,The Pokemon only takes damage from attacks.,25,20,15,105,55,90,310
Kadabra,64,1015,Psi Pokemon,1.3,56.5,Psychic,,1004,Level 16,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Magic Guard,The Pokemon only takes damage from attacks.,40,35,30,120,70,105,400
Alakazam,65,1026,Psi Pokemon,1.5,48,Psychic,,1015,,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Magic Guard,The Pokemon only takes damage from attacks.,55,50,45,135,95,120,500
Alakazam,65,1026,Psi Pokemon,1.5,48,Psychic,,1015,Trade Or Use Linking Cord In Legends: Arceus,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Magic Guard,The Pokemon only takes damage from attacks.,55,50,45,135,95,120,500
Alakazam,65,1360,Psi Pokemon,1.2,48,Psychic,,,,Trace,"When it enters a battle, the Pokemon copies an opposing Pokemon's Ability.",,,,,55,50,65,175,105,150,600
Machop,66,1076,Superpower Pokemon,0.8,19.5,Fighting,,,,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,No Guard,The Pokemon employs no-guard tactics to ensure incoming and outgoing attacks always land.,Steadfast,The Pokemon's determination boosts the Speed stat each time the Pokemon flinches.,70,80,50,35,35,35,305
Machoke,67,1087,Superpower Pokemon,1.5,70.5,Fighting,,1076,Level 28,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,No Guard,The Pokemon employs no-guard tactics to ensure incoming and outgoing attacks always land.,Steadfast,The Pokemon's determination boosts the Speed stat each time the Pokemon flinches.,80,100,70,50,60,45,405
Machamp,68,1097,Superpower Pokemon,1.6,130,Fighting,,1087,,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,No Guard,The Pokemon employs no-guard tactics to ensure incoming and outgoing attacks always land.,Steadfast,The Pokemon's determination boosts the Speed stat each time the Pokemon flinches.,90,130,80,65,85,55,505
Machamp,68,1097,Superpower Pokemon,1.6,130,Fighting,,1087,Trade Or Use Linking Cord In Legends: Arceus,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,No Guard,The Pokemon employs no-guard tactics to ensure incoming and outgoing attacks always land.,Steadfast,The Pokemon's determination boosts the Speed stat each time the Pokemon flinches.,90,130,80,65,85,55,505
